Price,Dien Tich,Do Rong Mat Duong,So Tang,Khoang Cach
1.5 tỷ,40 m2,3m,5,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
4.8 tỷ,45 m2,3m,5,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
3.65 tỷ,35 m2,3m,5,"Phố Đội cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
3.55 tỷ,32 m2,3m,5,"Phố Đội cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
1.25 tỷ,15 m2,3m,3,"Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
17.6 tỷ,90 m2,5m,4,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
13 tỷ,88 m2,7m,8,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.15 tỷ,26 m2,"2,5m",5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
4.3 tỷ,32 m2,"2,5m",5,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
6.1 tỷ,50 m2,3m,7,"Phố Đội cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
7.7 tỷ,85 m2,3m,4,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
5.9 tỷ,45 m2,4m,4,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
2.82 tỷ,27 m2,3m,5,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội"
8.2 tỷ,80 m2,3m,4,"Phố Kim Mã Thượng, Phường Cống Vị, Quận Ba Đình, Hà Nội"
5.5 tỷ,60 m2,3m,5,"Phố Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
4.7 tỷ,50 m2,2m,3,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
5.1 tỷ,40 m2,4m,5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
2.5 tỷ,25 m2,3m,4,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
5.1 tỷ,39 m2,4m,5,"Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
5.1 tỷ,40 m2,4m,5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
5.1 tỷ,41 m2,4m,5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
7.7 tỷ,85 m2,3m,4,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
12 tỷ,68 m2,3m,8,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
5 tỷ,59 m2,3m,4,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
2.5 tỷ,23 m2,3m,4,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
5.4 tỷ,59 m2,3m,5,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
10 tỷ,104 m2,4m,0,"Phố Vạn Phúc, Phường Kim Mã, Quận Ba Đình, Hà Nội"
10 tỷ,81 m2,4m,3,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
2.9 tỷ,32 m2,8m,3,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
3.2 tỷ,30 m2,2m,5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
4.99 tỷ,45 m2,"2,5m",5,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
4.65 tỷ,45 m2,3m,3,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
8 tỷ,48 m2,5m,6,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
8.3 tỷ,51 m2,5m,5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
7.2 tỷ,45 m2,13m,5,"Đường Đội Nhân, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
3.8 tỷ,45 m2,3m,5,"Phố Văn Cao, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.8 tỷ,50 m2,3m,5,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
11.7 tỷ,70 m2,15m,2,"Phố Phan Kế Bính, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
7.5 tỷ,45 m2,6m,5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
4.85 tỷ,55 m2,3m,4,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
3.5 tỷ,34 m2,3m,5,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
5.5 tỷ,68 m2,3m,4,"Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
9.4 tỷ,62 m2,3m,3,"Phố Vạn Bảo, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
7.7 tỷ,50 m2,9m,6,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
5.15 tỷ,45 m2,"3,5m",3,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
4.8 tỷ,56 m2,2m,4,"Phố Đội cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
4.1 tỷ,25 m2,3m,3,"Phố Trần Phú, Phường Điện Biên, Quận Ba Đình, Hà Nội"
7.2 tỷ,60 m2,"3,5m",5,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
